"","GSM4106225_1","GSM4106226_2","GSM4106227_3","GSM4106228_4","GSM4106229_5","GSM4106230_6","GSM4106231_7","GSM4106232_8","GSM4106233_9"
"17473941",3.50449041171096,3.47427795106057,3.0482312818929,3.62534558612254,3.17414904301455,3.71686629419204,3.48273341968473,3.32864374263486,4.11927076325235
"17299862",8.01230870633516,8.43770891491704,7.97494544222978,7.95752805097466,7.93336365397546,7.97494544222978,7.26826692143246,9.23585855552422,7.31504129496736
"17475695",3.78329735523032,4.61318989485139,4.03242977402396,3.56563337881913,4.36628271876445,4.31866552176071,4.23635555512098,4.06425511949352,4.03562514548702
"17374610",8.03853690025754,8.89013377858977,8.84087351930371,8.13939512627125,9.12652278371412,8.93222973191665,7.95538729211092,8.76792861473068,8.68596987122044
"17337663",2.62871523280498,2.34800422876939,2.26676124663807,2.39553778181986,2.60399874261714,2.11939469396552,2.17290962549985,2.81747751731012,2.27262420951503
"17400334",3.88688562215461,4.53405348651578,4.50291031186322,4.62506753004467,4.73673108422236,4.21082518093728,4.27661834638165,4.30661730986016,4.61112490139291
"17330478",6.58779640174257,3.77902001773235,4.14371646879212,4.98286666368764,4.01324715905225,3.44955947509485,6.25903415796853,3.98738579456967,4.10608943018065
"17300173",6.92909483586132,7.56828742318074,6.57570231400224,7.9677681095092,7.31584827549423,7.79361846455548,7.56828742318074,8.26500418280395,7.61190657454689
"17336077",9.13689334772137,8.5348920245665,8.434469145256,8.88813802318977,8.43416701399394,8.24040101114876,8.91277514194064,8.57154240169104,8.18930221714507
"17498057",4.87376688032767,4.5827553651701,4.85227882023673,4.87376688032767,5.04346499314762,5.15554435934205,5.33319225059474,4.65206609650572,5.30517359404427
"17254194",9.52959565290084,10.9025975941321,10.5712506214786,9.93432526772539,10.7259657466948,10.4782795162792,9.65845094540601,10.6625228542373,10.6153133436929
"17380370",9.5984678300641,9.26225351858853,9.04836854816532,9.6096687033053,8.8790437842101,9.3009418815945,9.69713096009992,9.0716217255245,9.11735688720332
"17391781",3.50984726682842,4.05402320316579,3.90074275026927,5.17931109125474,3.71380541643465,4.00488909369473,4.63181852600023,6.16396931457622,4.10576573972437
"17488343",4.41256627944341,4.4952203180775,4.31379405350073,4.69292340037214,3.96312148934368,4.24347708434554,4.54788423386941,4.08221164341613,5.1714962131116
"17471445",4.62372659457587,5.20151872526344,4.92302308130931,5.21518227125628,4.69153597764709,4.47117575071678,4.83048142732999,4.71287122375108,5.13884606980275
"17550462",3.99810844021764,3.99810844021764,4.19500914399357,3.80561392814579,3.99810844021764,4.25824163804414,3.53033120048355,3.53022324115687,4.27178608511441
"17340427",6.50152939246498,5.91377334010808,7.20391075496368,6.55820870829491,6.23890108206886,6.63861030294531,6.41668950628466,6.81612978847214,6.50162510048825
"17422902",4.9886780611242,5.71701425986697,5.4752402301004,4.98227113723542,5.45412463103701,5.17925733958612,5.12021983663161,6.11385064613138,5.14834647528466
"17519699",7.05768314753158,6.95432260654365,7.17725737936769,7.26355785314847,6.85232606823255,7.10779220720857,7.19201077480716,6.13331078904934,6.54152078118087
"17391521",5.32179804878717,4.56794475066978,5.32179804878717,5.93592417383889,4.79268653109483,5.86419834036842,5.92675080632938,4.66203743204958,5.32179804878717
